COMBUSTIBLE,ESTADO,MODELO,FECHA_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,POTENCIA,EJES
GASO ELEC,ACTIVO,2023,2022-10-04,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,126.0,2.0
GASO ELEC,ACTIVO,2022,2021-08-25,AUTOMOVIL,CAMIONETA,Particular,KIA,NIRO,WAGON,1580.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,139.0,2.0
GASO ELEC,ACTIVO,2023,2022-09-14,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,126.0,2.0
DIES ELEC,ACTIVO,2020,2020-03-02,AUTOMOVIL,CAMIONETA,Particular,KIA,SPORTAGE HÍBRIDA,WAGON,1598.0,INSP TTOyTTE BARRANCABERMEJA,BARRANCABERMEJA,Santander,134.0,2.0
GASO ELEC,ACTIVO,2023,2022-08-06,AUTOMOVIL,CAMIONETA,Particular,MAZDA,CX-30,WAGON,1998.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,153.0,2.0
GASO ELEC,ACTIVO,2020,2021-01-19,AUTOMOVIL,CAMIONETA,Particular,FORD,ESCAPE SE HEV,WAGON,2488.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,163.0,2.0
GASO ELEC,ACTIVO,2021,2021-06-22,AUTOMOVIL,CAMIONETA,Particular,CHRYSLER,PACIFICA HYBRID,WAGON,3600.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,260.0,2.0
GASO ELEC,ACTIVO,2023,2022-07-30,AUTOMOVIL,CAMIONETA,Particular,MAZDA,CX-30,WAGON,1998.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,153.0,2.0
GASO ELEC,ACTIVO,2022,2021-10-27,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,DPTO ADTVO TTEyTTO VILLA DEL ROSARIO,VILLA DEL ROSARIO,Norte de Santander,126.0,2.0
GASO ELEC,ACTIVO,2020,2020-01-20,AUTOMOVIL,AUTOMOVIL,Particular,BMW,330E,SEDAN,1998.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,184.0,2.0
